,molecule_chembl_id,IC50,units,smiles,pIC50,passed
5103,CHEMBL5280288,712.0,nM,COc1cc2c(Nc3ccc(Oc4ccccn4)cc3)ncnc2cc1OCC1CCN(C)CC1,6.147520006363144,True
5106,CHEMBL3939300,714.0,nM,CCC(=O)Nc1cc2c(Nc3ccc4c(ccn4Cc4cccnc4)c3)ncnc2cc1OC,6.146301788223826,True
5108,CHEMBL126996,720.0,nM,CCOc1cc2ncnc(Nc3cccc(-c4cocn4)c3)c2cc1OCC,6.142667503568732,True
5111,CHEMBL4072392,720.0,nM,CC(=O)c1ccccc1-n1c(-c2ccccc2)nc2cc(Cl)ccc2c1=O,6.142667503568732,True
5114,CHEMBL462162,720.0,nM,COc1cc(Nc2ncnc3[nH]ccc23)ccc1-c1nc2ccccc2s1,6.142667503568732,True
5115,CHEMBL1271950,720.0,nM,OC[C@@H](Nc1ncnc2sc3c(c12)CCCC3)c1ccccc1,6.142667503568732,True
5118,CHEMBL4066684,725.3,nM,Cc1cc(=O)n(-c2ccc(F)cc2)nc1C(=O)Nc1ccc(Oc2ccnc3[nH]ccc23)c(F)c1,6.139482322538254,True
5119,CHEMBL1257912,726.0,nM,CC(=O)Nc1ccc2c(c1)C(c1ccccc1Cl)=Nc1c[nH]nc1N2,6.139063379299906,True
5124,CHEMBL166766,730.0,nM,Nc1ncnc2c1c(-c1ccccc1)cn2C1CCC1,6.136677139879544,True
5126,CHEMBL153409,732.0,nM,Brc1cccc(Nc2ncnc3c2sc2ncccc23)c1,6.135488918941608,True
5127,CHEMBL1242295,734.0,nM,Nc1ncnc2c1c(-c1ccc3[nH]ccc3c1)nn2C1CCCC1,6.134303940083929,True
5132,CHEMBL2152252,739.0,nM,CNC(=O)c1nc(-c2ccc(Cl)c(S(=O)(=O)Nc3cccc(F)c3F)c2)cnc1N,6.131355561605174,True
5133,CHEMBL355019,740.0,nM,COC(=O)CN1CCC(n2cc(-c3cccc(O)c3)c3c(N)ncnc32)C1,6.130768280269024,True
5134,CHEMBL149512,740.0,nM,Brc1cccc(Nc2ncnc3c2oc2ccccc23)c1,6.130768280269024,True
5137,CHEMBL152984,742.0,nM,Cn1c2ccccc2c2c(Nc3cccc(Br)c3)ncnc21,6.129596094720973,True
5139,CHEMBL3916141,747.0,nM,CCC(=O)Nc1cc2c(Nc3ccc(CCc4ccccc4)cc3)ncnc2cc1OC,6.126679398184601,True
5143,CHEMBL355269,750.0,nM,COc1cccc(-c2cn(C3CCN(CC(=O)N(C)C)CC3)c3ncnc(N)c23)c1,6.1249387366083,True
5144,CHEMBL1242199,751.0,nM,Nc1ncnc2c1c(-c1cc(O)cc(F)c1)nn2C1CCCC1,6.124360062995832,True
5146,CHEMBL4285894,752.0,nM,Cc1oc2ncnc(Nc3cccc(Br)c3)c2c1C(=O)O,6.123782159408358,True
5147,CHEMBL4293134,754.0,nM,CCOc1ccc(Nc2cc(NC(=O)c3ccccc3)ncn2)cc1,6.122628654130226,True
5149,CHEMBL117710,756.0,nM,Brc1cccc(Oc2ncnc3ccccc23)c1,6.121478204498794,True
5151,CHEMBL1242572,760.0,nM,Nc1ncnc2c1c(-c1ccc3cn[nH]c3c1)nn2C1CCCC1,6.119186407719209,True
5153,CHEMBL4465558,765.0,nM,COc1cc(N2CCNC2=O)ccc1Nc1ncc(Cl)c(Nc2ccccc2S(=O)(=O)C(C)C)n1,6.116338564846382,True
5154,CHEMBL1242289,768.0,nM,CCOc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1O,6.114638779968488,True
5155,CHEMBL3233766,770.0,nM,O=C(CN1CCN(CCO)CC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,6.113509274827518,True
5160,CHEMBL1242750,775.0,nM,Nc1ncnc2c1c(-c1ccc(F)c(O)c1)nn2C1CCCCCC1,6.110698297493689,True
5161,CHEMBL4276965,779.0,nM,COc1ccc(OC)c(Nc2cc(Nc3ccc(S(N)(=O)=O)cc3)ncn2)c1,6.108462542327436,True
5163,CHEMBL234580,780.0,nM,O=C1CNCCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc5cccc(F)c5)c4)c23)C1,6.107905397309519,True
5164,CHEMBL4077349,780.0,nM,O=C(Nn1c(-c2ccccc2)nc2ccccc2c1=O)c1ccc(Br)cc1,6.107905397309519,True
5165,CHEMBL330668,780.0,nM,COc1cc2ncnc(Nc3cnc4ccccc4n3)c2cc1OC,6.107905397309519,True
5169,CHEMBL168285,790.0,nM,Nc1ncnc2c1c(-c1ccccc1)cn2C1CCC(O)C1,6.102372908709558,True
5173,CHEMBL2426280,790.0,nM,COc1cc(N2CCN(C(C)=O)CC2)ccc1Nc1ncc(Cl)c(-c2c[nH]c3ccccc23)n1,6.102372908709558,True
5174,CHEMBL2070193,790.0,nM,Clc1cccc(Nc2ncnc3ccc(NCc4ccc5c(c4)OCCO5)cc23)c1,6.102372908709558,True
5175,CHEMBL4287629,792.0,nM,O=C(O)CCC(=O)Nc1cc(Nc2ccc(Cl)cc2)ncn1,6.101274818410507,True
5178,CHEMBL22978,797.0,nM,CN1CCC(O)(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)o2)CC1,6.098541678603888,True
5179,CHEMBL3233761,799.0,nM,CN(C)CCCC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,6.097453220686009,True
5181,CHEMBL262276,800.0,nM,COC(=O)CN1CCC(n2cc(-c3cccc(O)c3)c3c(N)ncnc32)CC1,6.096910013008056,True
5183,CHEMBL4214496,800.0,nM,O=C(NC(CO)Cc1ccccc1)c1cc2cc(Cl)ccc2[nH]1,6.096910013008056,True
5185,CHEMBL122243,800.0,nM,Nc1ncnc2c1c(-c1ccccc1)nn2-c1ccccc1,6.096910013008056,True
5189,CHEMBL175409,800.0,nM,COc1cccc(-c2cn(-c3ccc(CC(=O)NCCO)cc3)c3ncnc(N)c23)c1,6.096910013008056,True
5192,CHEMBL176815,800.0,nM,COc1cccc(-c2cn(-c3cccc(CO)c3)c3ncnc(N)c23)c1,6.096910013008056,True
5193,CHEMBL514016,800.0,nM,Clc1ccc2c(Nc3ccc(-c4nc5ccccc5s4)c(Cl)c3)ncnc2c1,6.096910013008056,True
